combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
02_emacross × USDCHF1440_comma,-0.02938418255704908,653,-0.7376136865417953,0.1481956180060877,-0.0002682126301870929
02_emacross × USDJPY1440_comma,0.13566739606126915,612,-0.13043409373997053,0.3995418567600885,-6.679767282240088e-05
02_emacross × XAGUSD1440_comma,-0.019381056580181306,1112,-0.17646755037819023,-0.5011824257106846,-0.0001981213551885723
02_emacross × xauusd_1D_comma,0.12191309784307595,720,0.18078264036754654,0.7024950664199165,5.883834353272317e-05
03_rsi_meanrev × BRENTCMDUSD1440_comma,0.10034385745545484,108,0.13679074156352614,0.10564501081201183,4.558519910808805e-05
03_rsi_meanrev × DEUIDXEUR1440_comma,0.1541106595811191,187,-0.15168675159215492,0.538161693694173,-0.00012540803859329485
03_rsi_meanrev × EURUSD1440_comma,0.10096905282900906,100,-0.21767589399957304,-0.04955543404033077,-1.552187962406331e-05
03_rsi_meanrev × GBPUSD1440_comma,0.11128477649265396,118,-0.004613744976699077,-0.041408594069380626,1.2123189714264818e-06
03_rsi_meanrev × GBRIDXGBP1440_comma,0.12472647702407003,150,-0.039550443630955605,0.29472394999782403,-3.134797225673246e-05
03_rsi_meanrev × USA30IDXUSD1440_comma,0.14785870584557675,198,0.47568508745773147,0.6445902352611288,5.668836111527192e-05
03_rsi_meanrev × USA500IDXUSD1440_comma,0.13441700531416068,196,0.5494043226830619,0.7582137152925473,7.211698256476058e-05
03_rsi_meanrev × USATECHIDXUSD1440_comma,0.13910597061581745,194,0.40666485657412277,0.9143726035632954,3.416253253771789e-05
03_rsi_meanrev × USDCAD1440_comma,0.14973429196623944,156,-0.0533728367965859,0.3433868942452325,-2.0257188538908436e-05
03_rsi_meanrev × USDCHF1440_comma,0.10034385745545484,100,-0.40221321490460205,-0.14819561800608777,-3.514292934096672e-05
03_rsi_meanrev × USDJPY1440_comma,0.11972491403563613,139,-0.29459552175199255,0.39954185676008863,-6.171487200724782e-05
03_rsi_meanrev × XAGUSD1440_comma,0.09909346670834636,102,-0.22061264309124842,0.5011824257106845,-0.0001351718706403929
03_rsi_meanrev × xauusd_1D_comma,0.13129102844638948,132,0.15742459776217074,0.7024950664199167,-2.4122217542785036e-05
