status,data_path,timeframe,rsi_length,bb_length,bb_mult,n_windows,mean_IS_sharpe,mean_OOS_sharpe,degradation_ratio,robust,chained_OOS_sharpe,chained_OOS_benchmark_sharpe,chained_OOS_excess_sharpe,chained_OOS_CAGR,chained_OOS_maxdd,n_low_confidence,has_edge
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,100,2.5,24,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,24,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,200,2.5,24,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,24,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,100,2.5,20,0.687,1.067,1.554,True,0.787,0.787,0.0,13.23,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,20,2.0,20,0.688,1.067,1.552,True,0.787,0.787,0.0,13.23,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,100,2.0,20,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,100,2.5,20,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,20,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,100,2.5,20,0.803,1.096,1.365,True,0.929,0.929,-0.0,19.99,-35.63,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,50,1.5,24,-0.012,0.198,-17.123,False,0.06,0.063,-0.003,-0.45,-54.37,24,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,20,1.5,20,0.688,1.062,1.544,True,0.783,0.786,-0.004,13.13,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,50,1.5,20,-0.458,-0.625,1.366,False,-0.565,-0.561,-0.004,-11.05,-75.69,20,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,20,2.0,20,0.594,0.652,1.098,True,0.518,0.526,-0.008,9.49,-46.62,20,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,50,2.5,20,0.932,1.12,1.202,True,0.892,0.904,-0.013,18.8,-35.63,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,50,2.5,20,0.831,1.103,1.328,True,0.775,0.789,-0.014,12.86,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,50,2.0,20,0.831,1.103,1.328,True,0.775,0.789,-0.014,12.86,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,50,2.5,20,0.831,1.103,1.328,True,0.775,0.789,-0.014,12.86,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,20,2.5,20,0.628,0.94,1.496,True,0.692,0.732,-0.04,11.16,-33.23,20,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,14,20,2.5,20,0.651,0.958,1.472,True,0.702,0.743,-0.042,11.35,-33.23,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,6,20,2.0,24,0.519,0.869,1.674,True,0.562,0.606,-0.044,8.58,-37.83,24,False
success,data/raw/daily/USA500IDXUSD1440_comma.csv,1D,6,20,2.0,20,0.229,0.543,2.367,True,0.239,0.331,-0.092,2.72,-57.67,20,False
success,data/raw/daily/USA30IDXUSD1440_comma.csv,1D,14,20,1.5,24,0.466,0.783,1.679,True,0.535,0.642,-0.107,8.08,-37.83,24,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,6,20,2.5,20,1.049,1.745,1.664,True,0.601,0.866,-0.264,2.97,-7.78,20,False
success,data/raw/daily/USATECHIDXUSD1440_comma.csv,1D,14,200,2.5,20,,-0.326,,False,,-1.264,,0.0,0.0,20,False
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,50,1.5,26,-0.478,-0.677,1.417,False,-0.507,-5.968,5.46,-4.95,-50.2,26,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,100,1.5,26,0.013,0.029,2.179,True,0.153,-3.86,4.014,0.99,-31.1,26,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,20,1.5,26,-0.472,-0.704,1.491,False,-0.501,-4.452,3.951,-4.89,-49.26,26,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,50,1.5,16,-0.234,-0.443,1.899,False,-0.311,-3.92,3.609,-6.22,-51.79,16,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,6,20,1.5,16,-0.516,-0.305,0.591,False,-0.387,-3.303,2.916,-8.47,-64.0,16,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,6,50,1.5,16,0.391,0.703,1.798,True,0.686,-1.802,2.488,14.36,-38.83,16,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,6,200,1.5,26,-0.228,-0.069,0.304,False,-0.076,-2.194,2.118,-1.1,-22.9,26,True
success,data/raw/onehours/GBPUSD60_comma.csv,1H,14,20,1.5,26,-0.126,-0.401,3.183,False,-0.202,-2.245,2.043,-2.25,-33.71,26,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,50,1.5,16,-0.305,-0.32,1.048,False,-0.32,-2.291,1.972,-7.79,-56.95,16,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,100,1.5,16,-0.05,-0.099,1.993,False,-0.006,-1.909,1.903,-1.4,-33.24,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,100,1.5,16,-0.147,-0.21,1.433,False,-0.205,-2.062,1.857,-5.69,-54.95,16,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,6,50,1.5,16,-0.048,-0.002,0.044,False,-0.0,-1.769,1.769,-1.64,-52.65,16,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,6,100,1.5,16,-0.293,-0.191,0.654,False,-0.184,-1.869,1.684,-4.93,-48.66,16,True
