asset,timeframe,fast,slow,mode,filter,buffer,CAGR,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,sharpe_rank,calmar_rank,cagr_rank,pf_rank,research_score,low_sample
BRENTCMDUSD1440_comma,daily,20,150,long_only,fast_slope,0.0,0.091100278238895,0.35897361645151377,0.5043242267852875,0.2897173845190642,-0.31444532881629805,72,0.4027777777777778,2.0791712990615463,2716.5715597398384,1.0,1.0,1.0,0.9807432432432432,0.9971114864864865,False
BRENTCMDUSD1440_comma,daily,20,150,long_only,fast_slope,0.001,0.0899038965274821,0.35294081179023423,0.49610260654504007,0.2869772145486328,-0.3132788666476044,71,0.39436619718309857,2.0827394375462616,2694.510610998436,0.9996621621621622,0.9996621621621622,0.9996621621621622,0.981081081081081,0.9968750000000001,False
BRENTCMDUSD1440_comma,daily,20,150,long_only,fast_slope,0.0025,0.08285483134653937,0.31678043748642076,0.44458890775903326,0.2624588064903615,-0.31568699276845225,70,0.37142857142857144,1.998469029657479,2403.1676054087125,0.9993243243243243,0.9989864864864865,0.9993243243243243,0.9777027027027027,0.9959966216216216,False
BRENTCMDUSD1440_comma,daily,20,150,long_only,fast_slope,0.005,0.0805576902248395,0.30550252706867154,0.42792554542231576,0.25110508091281186,-0.3208126650882487,68,0.39705882352941174,1.9643411829558057,2363.971495256216,0.9989864864864865,0.9983108108108109,0.9986486486486487,0.9753378378378378,0.9952027027027028,False
BRENTCMDUSD1440_comma,daily,10,50,long_only,none,0.0025,0.0799316704063493,0.2775361364036696,0.3711484230392112,0.1765376495916011,-0.452774071657019,43,0.32558139534883723,1.8396290362676866,3900.6929804803467,0.9969594594594594,0.9891891891891892,0.9983108108108109,0.9689189189189189,0.9910810810810811,False
BRENTCMDUSD1440_comma,daily,20,200,long_only,fast_slope,0.0025,0.07821210561438519,0.28867954613347924,0.39826344748338555,0.21495807259785896,-0.36384818987795575,67,0.373134328358209,1.7020333870020183,2044.8216894442921,0.9986486486486487,0.9956081081081081,0.9976351351351351,0.9537162162162162,0.990945945945946,False
BRENTCMDUSD1440_comma,daily,20,150,long_only,combined,0.0,0.06793417405318536,0.24183576907468146,0.3390456626909245,0.2666106946627771,-0.25480663534188674,69,0.37681159420289856,1.8980821545360935,1770.7131688702207,0.9905405405405405,0.9993243243243243,0.9902027027027027,0.972972972972973,0.9900337837837838,False
BRENTCMDUSD1440_comma,daily,20,200,long_only,fast_slope,0.001,0.0770574692854864,0.2827755073590429,0.3898805514674343,0.21178462615511812,-0.36384826738578724,68,0.38235294117647056,1.6959210075865079,1965.4228717534172,0.9976351351351351,0.9949324324324325,0.9969594594594594,0.9516891891891892,0.9899324324324326,False
BRENTCMDUSD1440_comma,daily,20,200,long_only,fast_slope,0.0,0.07724906906635054,0.2837008488571865,0.39121680799916847,0.21231121868843106,-0.3638482673857869,68,0.36764705882352944,1.6882811003675415,1973.5633816612158,0.9979729729729729,0.9952702702702703,0.9972972972972973,0.9493243243243243,0.9898648648648649,False
BRENTCMDUSD1440_comma,daily,20,150,long_only,combined,0.001,0.06770776237050202,0.2406130661883656,0.33739555083927036,0.25725498635210003,-0.26319319726550094,69,0.37681159420289856,1.9044002228842163,1761.6431554323412,0.9902027027027027,0.9986486486486487,0.9898648648648649,0.9736486486486486,0.9897635135135135,False
BRENTCMDUSD1440_comma,daily,10,50,long_only,none,0.005,0.08247459650245537,0.28843079603211924,0.38879834874786195,0.18834926315860737,-0.4378811741514709,45,0.37777777777777777,1.6942762553594137,3129.911375798625,0.9983108108108109,0.9912162162162163,0.9989864864864865,0.9510135135135135,0.9895777027027028,False
BRENTCMDUSD1440_comma,daily,40,150,long_only,slow_slope,0.005,0.06858718307181233,0.23350082078671847,0.3177649736124878,0.15511988307592517,-0.4421559745390058,25,0.44,2.9347076966700514,5667.9194060668115,0.9891891891891892,0.9841216216216216,0.9905405405405405,0.9949324324324325,0.989054054054054,False
BRENTCMDUSD1440_comma,daily,20,200,long_only,fast_slope,0.005,0.07581015727184126,0.2768051089770552,0.3820041878723253,0.2083565496268315,-0.36384820831223186,64,0.390625,1.6899368672416335,2032.4155775318397,0.9966216216216216,0.9942567567567567,0.995945945945946,0.9496621621621621,0.9888513513513515,False
BRENTCMDUSD1440_comma,daily,20,100,long_only,fast_slope,0.0025,0.06937238677852609,0.24442276749702105,0.3365432202836191,0.20938986267429516,-0.3313072843761996,78,0.3974358974358974,1.8289076482679298,1700.3446572186892,0.9915540540540541,0.9945945945945946,0.9908783783783783,0.9668918918918918,0.9884797297297298,False
BRENTCMDUSD1440_comma,daily,20,100,long_only,fast_slope,0.001,0.06750651574287692,0.23465547212140175,0.322833062628669,0.22140665964493852,-0.30489830726471623,78,0.38461538461538464,1.8415699789932505,1631.8545909643599,0.989527027027027,0.9969594594594594,0.9891891891891892,0.9695945945945946,0.9883277027027026,False
BRENTCMDUSD1440_comma,daily,20,50,long_only,none,0.005,0.07337455207814414,0.2523259301052605,0.33590025252133054,0.16513292947063374,-0.44433628297736116,34,0.4411764705882353,1.8130024299069525,3119.995423937421,0.9932432432432432,0.9881756756756757,0.9939189189189189,0.9652027027027027,0.9879054054054054,False
