asset,timeframe,fast,slow,mode,filter,buffer,CAGR,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,sharpe_rank,calmar_rank,cagr_rank,pf_rank,research_score,low_sample
XAGUSD1440_comma,daily,100,500,long_short,none,0.005,0.09484938685498223,0.32442248684072417,0.3916980229940954,0.1714794203461133,-0.5531240230666669,8,0.5,2.911291728441124,7328.401400167211,1.0,1.0,1.0,0.9908783783783783,0.9986317567567569,True
XAGUSD1440_comma,daily,100,500,long_only,none,0.0025,0.0853799125933552,0.2988672062621382,0.3747178558924909,0.16164591807529335,-0.5281909596602739,3,0.3333333333333333,3.89431269875052,6155.778048376892,0.9986486486486487,0.9976351351351351,0.9986486486486487,0.9989864864864865,0.998445945945946,True
XAGUSD1440_comma,daily,100,500,long_short,none,0.0025,0.09393997959540634,0.32163016863591765,0.38835920951534125,0.16786092675053238,-0.5596298162646025,8,0.5,2.8469009393508307,7566.797423364346,0.9996621621621622,0.9993243243243243,0.9996621621621622,0.9902027027027027,0.9981587837837838,True
XAGUSD1440_comma,daily,100,500,long_only,none,0.005,0.08513256441079786,0.29801311980596684,0.3738371906343252,0.16117770084229144,-0.5281907110345125,3,0.3333333333333333,2.531063398762195,4993.222311409657,0.9983108108108109,0.9972972972972973,0.9983108108108109,0.9824324324324324,0.9956756756756757,True
XAGUSD1440_comma,daily,100,150,long_only,slow_slope,0.0025,0.06800497414553641,0.23486820113923437,0.2959632712163284,0.1581238430311527,-0.4300741295045456,39,0.41025641025641024,3.598019826941509,4575.572756600916,0.9939189189189189,0.9966216216216216,0.9939189189189189,0.9979729729729729,0.9952027027027027,False
XAGUSD1440_comma,daily,100,500,long_short,none,0.0,0.09061281063271087,0.3115302702260685,0.37592941083459275,0.16532083022049374,-0.5481028041769306,9,0.4444444444444444,2.234966652301194,5867.405430612976,0.9993243243243243,0.9986486486486487,0.9993243243243243,0.9706081081081082,0.994847972972973,True
XAGUSD1440_comma,daily,100,500,long_short,none,0.001,0.08837935125613239,0.3047669036558069,0.3678299174338621,0.15854590189211956,-0.5574369958566885,9,0.4444444444444444,2.17052099928061,5527.258648752429,0.9989864864864865,0.9969594594594594,0.9989864864864865,0.964527027027027,0.9933108108108109,True
XAGUSD1440_comma,daily,100,500,long_only,none,0.0,0.08125832994322502,0.28382712971757773,0.3552905910944659,0.15384264268182535,-0.5281911993105973,4,0.25,2.135415772411911,3613.2014849508423,0.9979729729729729,0.9962837837837838,0.9979729729729729,0.9601351351351352,0.9918750000000001,True
XAGUSD1440_comma,daily,100,150,long_only,slow_slope,0.0,0.06428802153995483,0.21933932332886064,0.275480599742153,0.14948125713587093,-0.4300741295045456,50,0.36,3.199095641884828,3274.800986741593,0.9871621621621621,0.9952702702702703,0.9898648648648649,0.9949324324324325,0.9908952702702702,False
XAGUSD1440_comma,daily,100,150,long_only,slow_slope,0.001,0.06394355175123456,0.21786410455484315,0.27405142591400206,0.1486803026838626,-0.4300741295045456,44,0.36363636363636365,3.2348721600722756,3691.2387791074943,0.9861486486486486,0.9945945945945946,0.9891891891891892,0.995945945945946,0.9903378378378378,False
XAGUSD1440_comma,daily,100,500,long_only,none,0.001,0.08012930404870411,0.27975160940335636,0.3503111903816179,0.1517051101065107,-0.5281911993105973,4,0.25,1.9625711616883101,3151.6813866415737,0.9972972972972973,0.9956081081081081,0.9972972972972973,0.9412162162162162,0.988462837837838,True
XAGUSD1440_comma,daily,50,500,long_short,combined,0.0025,0.07316274107059306,0.25463839839278146,0.3183291738408493,0.17011619729315255,-0.430075102986904,115,0.3739130434782609,1.84795734460186,1926.0496377756922,0.995945945945946,0.9996621621621622,0.995945945945946,0.9256756756756757,0.9863344594594596,False
XAGUSD1440_comma,daily,50,500,long_short,combined,0.005,0.07204817947660991,0.2503221737990112,0.31289991531501804,0.16752464622162477,-0.4300751029869039,115,0.3739130434782609,1.8319382226807697,1883.5847683950403,0.9952702702702703,0.9989864864864865,0.9952702702702703,0.9233108108108108,0.9854054054054054,False
XAGUSD1440_comma,daily,50,400,long_only,combined,0.0,0.06278308073984817,0.21266642907453287,0.2718249846980588,0.1459816676292465,-0.430075102986904,54,0.4074074074074074,2.2262386446315934,3114.469627797875,0.9847972972972973,0.9935810810810811,0.9861486486486486,0.9692567567567567,0.9849324324324324,False
XAGUSD1440_comma,daily,100,150,long_only,slow_slope,0.005,0.06028875259656141,0.20219569631485854,0.2546091028519238,0.14018223478360653,-0.4300741295045456,35,0.4,3.244020533133331,4249.409405778716,0.9787162162162162,0.9902027027027027,0.981081081081081,0.9962837837837838,0.984695945945946,False
