asset,timeframe,fast,slow,mode,filter,buffer,CAGR_screen,sharpe_screen,calmar_screen,max_drawdown_screen,total_return_screen,approx_trades,rank_sharpe,rank_calmar,rank_cagr,rank_drawdown,screen_score,CAGR,volatility,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,screen_rank
GBPUSD60_comma,onehours,60,75,long_short,none,0.0025,0.0041262288999752705,0.16295888021278465,0.06780457418707748,-0.06085472771484002,0.0682531008501912,263,0.9966159052453468,0.9969543147208122,0.9983079526226735,0.01015228426395939,0.8490693739424704,0.004150960326698705,0.027604628757534028,-1.2569908150623241,-2.010586845942476,0.06780524037978163,-0.06121887192566389,131,0.3053435114503817,1.188084558910445,49.780767564362485,2143
GBPUSD60_comma,onehours,60,75,long_short,slow_slope,0.0025,0.004017002671796277,0.15902279669282277,0.06600970578028757,-0.06085472771484268,0.06639141981136687,265,0.9962774957698816,0.9966159052453468,0.9979695431472081,0.010490693739424704,0.8488324873096447,0.004046845651971109,0.02760346001190521,-1.2608016082195856,-2.016608834652257,0.06610454463919407,-0.06121887192566322,132,0.30303030303030304,1.1803641422041646,47.94936395435128,2151
GBPUSD60_comma,onehours,50,75,long_short,none,0.005,0.007297641825569912,0.30381389270488546,0.12409278330231888,-0.05880794701647685,0.1236553012386592,113,1.0,1.0,1.0,0.008121827411167513,0.8512182741116752,0.007006235804603467,0.024932104023507297,-1.2806583309293813,-2.107604279002436,0.11901039471744218,-0.058870788734361135,56,0.5,1.7686951552070798,211.24516702735536,1824
GBPUSD60_comma,onehours,50,75,long_short,slow_slope,0.005,0.007217566998025449,0.3006276465109886,0.12273115053656777,-0.058807947016474627,0.12222390665770644,115,0.9996615905245347,0.9996615905245347,0.9996615905245347,0.0077834179357022,0.8508798646362099,0.006930364007202261,0.024932195450426207,-1.28367561304977,-2.1124754187237493,0.11772160958253085,-0.058870788734362356,57,0.49122807017543857,1.70779885082852,204.30942306239504,1832
GBPUSD60_comma,onehours,50,75,long_short,fast_slope,0.005,0.006060937169628966,0.26088912711716855,0.11698069054577474,-0.05181143265056476,0.10173809247813637,121,0.9993231810490694,0.9993231810490694,0.9993231810490694,0.005752961082910322,0.8502876480541456,0.005543716569253121,0.02428372751662177,-1.3753558746433232,-2.2267916669067147,0.10670254917845512,-0.0519548652955002,60,0.4666666666666667,1.531916216196681,156.59831805461587,1836
GBPUSD60_comma,onehours,50,75,long_short,price_slow,0.005,0.00497532094330877,0.2145149582476682,0.07085272379113652,-0.0702206023578612,0.08282952255334797,131,0.9972927241962775,0.9972927241962775,0.9989847715736041,0.01353637901861252,0.8500676818950931,0.004696575368689393,0.0245071917878984,-1.396985299098209,-2.2731150434562957,0.06690883960970402,-0.07019364550462526,65,0.46153846153846156,1.3881344877100192,121.25449803303307,1828
GBPUSD60_comma,onehours,50,75,long_short,combined,0.005,0.004139406233859333,0.1836173914966327,0.06363669202263342,-0.0650474765782465,0.06847790473657311,139,0.9969543147208122,0.9962774957698816,0.9986463620981387,0.012182741116751269,0.8494077834179358,0.0036356057781397055,0.02405969403302348,-1.4673318434218539,-2.35975151446736,0.05584527913862073,-0.06510139861805153,69,0.4057971014492754,1.2649686694453801,87.09351879052325,1840
GBPUSD60_comma,onehours,75,100,long_only,none,0.005,0.002459862748622532,0.2593778533381584,0.10039853188509369,-0.024500983255789532,0.04017973959513754,29,0.9988155668358714,0.9988155668358714,0.9964467005076142,0.0021996615905245345,0.848849407783418,0.0022667830632376873,0.009692591770683262,-3.808031844475737,-5.99923391958201,0.08275386674948418,-0.027391868830731303,14,0.5714285714285714,2.4983552669499876,264.08583197827153,2444
GBPUSD60_comma,onehours,75,100,long_only,slow_slope,0.005,0.002459862748622532,0.2593778533381584,0.10039853188509369,-0.024500983255789532,0.04017973959513754,29,0.9988155668358714,0.9988155668358714,0.9964467005076142,0.0021996615905245345,0.848849407783418,0.0022667830632376873,0.009692591770683262,-3.808031844475737,-5.99923391958201,0.08275386674948418,-0.027391868830731303,14,0.5714285714285714,2.4983552669499876,264.08583197827153,2452
GBPUSD60_comma,onehours,75,100,long_only,fast_slope,0.005,0.002399887446724147,0.2532538436538065,0.0963781426726717,-0.02490074388416952,0.03918234707942858,29,0.9983079526226735,0.9983079526226735,0.9959390862944163,0.0027072758037225042,0.8484940778341794,0.002211765483408179,0.0096893300117596,-3.8149824953595037,-6.008650523323333,0.07968824907984333,-0.027755227514060565,14,0.5714285714285714,2.4098828527033502,257.5691651143409,2456
