asset,timeframe,fast,slow,mode,filter,buffer,CAGR,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,sharpe_rank,calmar_rank,cagr_rank,pf_rank,research_score,low_sample
GBPUSD1440_comma,daily,10,150,long_short,none,0.0,0.00404352850533507,-0.36832558095362117,-0.49110643724560726,0.018118315253037396,-0.2231735373219761,50,0.32,1.1644804575259664,204.07735732184017,1.0,0.9996621621621622,1.0,0.9983108108108109,0.9996621621621622,False
GBPUSD1440_comma,daily,20,150,long_short,none,0.0025,0.0034146511637092036,-0.3851457241193908,-0.505707400144462,0.016911505898151553,-0.2019128978976632,38,0.42105263157894735,1.2139331034895104,280.3264945105249,0.9996621621621622,0.9989864864864865,0.9996621621621622,0.9996621621621622,0.9994932432432432,False
GBPUSD1440_comma,daily,10,400,long_short,none,0.0,0.0023458141857186643,-0.40073217197523686,-0.5505077476297527,0.009062470805179365,-0.25884929575475035,29,0.27586206896551724,1.1912457632923557,252.21764692774568,0.9989864864864865,0.9976351351351351,0.9986486486486487,0.9993243243243243,0.9986317567567569,False
GBPUSD1440_comma,daily,20,100,long_short,none,0.001,0.0018245576757356385,-0.3983208532295919,-0.5343344773601102,0.007114524942612698,-0.25645530663718474,60,0.4,1.0976362590634825,108.55738784935473,0.9993243243243243,0.9966216216216216,0.9976351351351351,0.9969594594594594,0.9979560810810811,False
GBPUSD1440_comma,daily,40,100,long_short,none,0.001,0.0007568904398991272,-0.41432426928206817,-0.5459646898831315,0.0035331076073028384,-0.21422796133767763,54,0.42592592592592593,1.101912168421613,120.22266345772229,0.9979729729729729,0.995945945945946,0.995945945945946,0.9972972972972973,0.9969594594594594,False
GBPUSD1440_comma,daily,20,150,long_short,none,0.0,0.0004227400847880425,-0.4101084149729219,-0.5449106123890542,0.002034352597285424,-0.20780079389980555,40,0.325,1.0870813252214546,123.07388763092452,0.9986486486486487,0.9945945945945946,0.9952702702702703,0.9962837837837838,0.9966047297297298,False
GBPUSD1440_comma,daily,10,100,long_short,none,0.0025,0.0005407131231507378,-0.42279498663512555,-0.5571339723042912,0.0028074063924634013,-0.19260236943333342,78,0.41025641025641024,1.0591750987305324,52.8935627991919,0.9962837837837838,0.9956081081081081,0.9956081081081081,0.9942567567567567,0.9956756756756757,False
GBPUSD1440_comma,daily,20,150,long_short,none,0.001,0.00024922882758637854,-0.4169968448395205,-0.5506625962685783,0.0012440891101846644,-0.20033036664824166,39,0.358974358974359,1.0821958092351538,118.02916263123261,0.9976351351351351,0.9939189189189189,0.9939189189189189,0.9956081081081081,0.9956587837837838,False
GBPUSD1440_comma,daily,20,100,long_short,none,0.0,-0.00011411191387999953,-0.4138666254571696,-0.5562617879126597,-0.0004064752364001793,-0.2807352174528416,59,0.3728813559322034,1.042168077515488,49.57881031936748,0.9983108108108109,0.9932432432432432,0.9932432432432432,0.9925675675675676,0.9951689189189189,False
GBPUSD1440_comma,daily,20,400,long_short,none,0.001,-0.00014581609070318802,-0.4333575070643761,-0.5926713595664408,-0.0007221334500266406,-0.20192402207349436,21,0.42857142857142855,1.0864673551343291,139.70407521870172,0.995945945945946,0.9929054054054054,0.9929054054054054,0.995945945945946,0.9945777027027027,False
GBPUSD1440_comma,daily,5,100,long_short,none,0.0,-0.000595915748683784,-0.4193794212352313,-0.563724221827485,-0.002840565074702456,-0.20978774751224638,105,0.3142857142857143,1.0131637042043096,11.240174000035822,0.9972972972972973,0.9918918918918919,0.9915540540540541,0.9905405405405405,0.9937837837837837,False
GBPUSD1440_comma,daily,30,100,long_short,none,0.0,-0.0007267726534886387,-0.4211419868965231,-0.5702281321485649,-0.002952615722539333,-0.24614535780619418,51,0.37254901960784315,1.0463401343873044,61.45157453826439,0.9969594594594594,0.9915540540540541,0.9905405405405405,0.9929054054054054,0.9937162162162161,False
GBPUSD1440_comma,daily,60,100,long_short,none,0.0,-0.0007809135697574021,-0.4215044381194549,-0.5579587748646347,-0.003255123558978255,-0.23990289634428552,58,0.39655172413793105,1.0623356045888876,64.12006222322333,0.9966216216216216,0.9912162162162163,0.989527027027027,0.9952702702702703,0.9936486486486487,False
GBPUSD1440_comma,daily,10,400,long_short,none,0.0025,-0.0009126993638257641,-0.4458386719726636,-0.6102819130265378,-0.003678180394179625,-0.24813882572753232,32,0.28125,1.0552109469394757,66.43012672118803,0.9945945945945946,0.9908783783783783,0.9888513513513514,0.9939189189189189,0.9924155405405406,False
GBPUSD1440_comma,daily,40,100,long_short,price_slow,0.005,0.00025422846113953845,-0.5012591472742121,-0.6455500546573552,0.0015913854716617189,-0.15975291069741515,87,0.3448275862068966,1.0506734756836766,34.87236327420463,0.9837837837837838,0.9942567567567567,0.9942567567567567,0.9932432432432432,0.9899155405405405,False
GBPUSD1440_comma,daily,5,150,long_short,none,0.0,-0.0018584260438326838,-0.4369451480992012,-0.5805769452850026,-0.007657746115490294,-0.24268577409133607,70,0.22857142857142856,1.009577306376031,9.728527146933438,0.9956081081081081,0.9871621621621621,0.9817567567567568,0.9898648648648649,0.9898648648648649,False
GBPUSD1440_comma,daily,20,150,long_short,none,0.005,-0.0014284866105001015,-0.46951214246850703,-0.632420669796085,-0.0064233635026184135,-0.22238919063474993,46,0.30434782608695654,1.0516879466821756,62.25969657336315,0.9908783783783783,0.9888513513513514,0.9858108108108108,0.9935810810810811,0.9897635135135137,False
GBPUSD1440_comma,daily,10,150,long_short,none,0.0025,-0.0018165902896882802,-0.4496758258598583,-0.5916736498749599,-0.0076025217830709875,-0.23894575267556561,57,0.2807017543859649,1.0073911911236861,8.713780342776852,0.9942567567567567,0.9875,0.9831081081081081,0.9891891891891892,0.9895777027027026,False
GBPUSD1440_comma,daily,10,150,long_short,none,0.005,-0.0015536256171855278,-0.4607006488056618,-0.6003757633664192,-0.008620470638707094,-0.18022515037746734,59,0.2542372881355932,1.0161568353686778,17.834424557460498,0.9925675675675676,0.9864864864864865,0.9851351351351352,0.9912162162162163,0.9893581081081081,False
GBPUSD1440_comma,daily,10,400,long_short,none,0.001,-0.0019836388767435764,-0.45528019849041823,-0.6232548343732583,-0.0071681305718009165,-0.27673029346690714,30,0.3333333333333333,1.0117821647810892,15.947822782310375,0.9939189189189189,0.9881756756756757,0.9800675675675675,0.9902027027027027,0.9891554054054054,False
GBPUSD1440_comma,daily,5,100,long_short,none,0.001,-0.0017862737330313072,-0.4392744335573829,-0.5878836584446651,-0.008913427020616472,-0.20040257567596764,107,0.34579439252336447,0.9931941609059899,-5.693884716742711,0.9952702702702703,0.9851351351351352,0.9834459459459459,0.9868243243243243,0.9891047297297297,False
GBPUSD1440_comma,daily,10,100,long_short,none,0.001,-0.0021001217858074295,-0.4444548687644982,-0.5916719057721873,-0.009052684208312033,-0.23198884855379476,81,0.3333333333333333,0.9977245710013602,-2.166058629497021,0.9949324324324325,0.9844594594594595,0.9783783783783784,0.9881756756756757,0.9879898648648648,False
GBPUSD1440_comma,daily,60,100,long_short,none,0.001,-0.0022115455306387366,-0.4555204800470367,-0.5940318169344208,-0.009879268339842774,-0.22385721842574557,56,0.375,1.0132515177420298,14.042849657744487,0.9935810810810811,0.9834459459459459,0.9766891891891892,0.9908783783783783,0.9872635135135136,False
GBPUSD1440_comma,daily,50,100,long_short,none,0.001,-0.0026995929979758415,-0.4593988095227102,-0.6043609879245977,-0.009882375642095787,-0.2731724734765628,57,0.38596491228070173,1.0178390875933105,20.658280547581462,0.9929054054054054,0.9831081081081081,0.9699324324324324,0.9915540540540541,0.9856587837837838,False
GBPUSD1440_comma,daily,20,400,long_short,none,0.0,-0.0023766895716662573,-0.45742571187456454,-0.6262986609350936,-0.01087421542999226,-0.21856193552236336,21,0.38095238095238093,0.9791081508517387,-35.90110111417904,0.9932432432432432,0.9804054054054054,0.9739864864864864,0.9841216216216216,0.9848141891891892,False
