asset,timeframe,fast,slow,mode,filter,buffer,CAGR_screen,sharpe_screen,calmar_screen,max_drawdown_screen,total_return_screen,approx_trades,rank_sharpe,rank_calmar,rank_cagr,rank_drawdown,screen_score,CAGR,volatility,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,screen_rank
EURUSD240_comma,fourhours,60,400,long_short,none,0.0,0.0012736445198067159,0.05665273885468527,0.004548749270671826,-0.27999884012481646,0.02061664867697499,105,0.9996621621621622,0.9996621621621622,0.9996621621621622,0.060810810810810814,0.8588344594594596,0.0008137778937487017,0.0824232999921463,-0.4247714033141338,-0.5592300945939513,0.002865466828667967,-0.2839948749736504,103,0.27184466019417475,1.0117736233529546,10.560287607460245,2381
EURUSD240_comma,fourhours,75,250,long_short,none,0.0025,-0.0017449997073120116,0.014828106540937516,-0.005611002982825501,-0.31099603986189506,-0.027613133181234706,238,0.9983108108108109,0.9983108108108109,0.995945945945946,0.11486486486486487,0.8653209459459459,-0.0030741217545130484,0.0758062081231393,-0.5200936751070142,-0.674363302268257,-0.009862942154535068,-0.3116840498856155,118,0.288135593220339,0.9460793300606658,-43.78435712714384,2583
EURUSD240_comma,fourhours,40,500,long_short,none,0.0,-0.007981966372967664,-0.05668411235602136,-0.02326765451106246,-0.34304989225161,-0.12057426616098221,105,0.9912162162162163,0.9878378378378379,0.9685810810810811,0.19256756756756757,0.8660472972972975,-0.008436272430045078,0.08202154138179185,-0.5404411767704795,-0.6955638767911939,-0.02452681005987286,-0.3439612574750297,103,0.24271844660194175,0.8720451279340972,-121.1208464925529,1781
EURUSD240_comma,fourhours,100,250,long_short,none,0.0,-0.009082403709878561,-0.06838223910201846,-0.02549846295097773,-0.35619416461847164,-0.1360850926921926,126,0.9861486486486486,0.9831081081081081,0.960472972972973,0.22398648648648647,0.8659290540540541,-0.009304510338460692,0.08302271800081625,-0.5434990889075766,-0.7135189030361772,-0.026152223140090265,-0.355782768012455,124,0.3225806451612903,0.8715514869823171,-108.90391593919519,2821
EURUSD240_comma,fourhours,60,250,long_short,none,0.005,-0.003653873891733772,-0.015826656402702366,-0.012266484380042162,-0.2978745807298059,-0.05699986129625312,244,0.9966216216216216,0.995945945945946,0.9912162162162163,0.08986486486486486,0.8593581081081082,-0.004445374179439798,0.07116019309102886,-0.5781892995283124,-0.7516426375624125,-0.014861228374595917,-0.2991256218791988,121,0.32231404958677684,0.9343917867361723,-48.751649441238705,2304
EURUSD240_comma,fourhours,20,250,long_short,none,0.001,-0.010417339655361957,-0.08897712155007702,-0.027529125329765678,-0.3784115743081121,-0.15455688847875926,394,0.9820945945945946,0.977027027027027,0.9476351351351351,0.28614864864864864,0.8695439189189189,-0.010871308389934442,0.080897227732899,-0.5794875278407892,-0.7543197213563609,-0.028619515140000697,-0.3798564838277053,196,0.23979591836734693,0.8697768510010403,-85.28082445182908,942
EURUSD240_comma,fourhours,50,500,long_short,none,0.005,-0.007448663561988034,-0.06393088553043781,-0.02292605967441048,-0.3248994230919696,-0.11296370607885586,182,0.9881756756756757,0.9881756756756757,0.9733108108108108,0.14324324324324325,0.8584628378378378,-0.00718717500784416,0.0740579264904555,-0.5899541736914419,-0.7506361617662419,-0.022106067156997,-0.3251222823490464,90,0.2777777777777778,0.8767672046417498,-113.57224617823755,2104
EURUSD240_comma,fourhours,60,250,long_short,none,0.0025,-0.008223946932908066,-0.06994376681549873,-0.02331553368681393,-0.3527239411877202,-0.1240072471851581,246,0.9858108108108108,0.9875,0.9672297297297298,0.21317567567567566,0.8666216216216217,-0.008864402136949057,0.07636824654919314,-0.5919799570633109,-0.7654948550649262,-0.024909475317107726,-0.355864666922993,122,0.3114754098360656,0.8597218286320971,-110.36972740592931,2303
EURUSD240_comma,fourhours,40,500,long_short,none,0.001,-0.011843846024244375,-0.10757171359372354,-0.030555601039919607,-0.3876162019778596,-0.17388609782124598,200,0.9766891891891892,0.9689189189189189,0.9287162162162163,0.31351351351351353,0.8656756756756758,-0.01258365027759989,0.08057696686270191,-0.6036055355544994,-0.7735037330250282,-0.03218604638095443,-0.3909660145474114,99,0.25252525252525254,0.8119170810919625,-188.5127762800966,1782
EURUSD240_comma,fourhours,60,300,long_short,none,0.005,-0.00982617235709049,-0.100466808863781,-0.027696518082219006,-0.35478006036429655,-0.14642294299826297,226,0.9780405405405406,0.9766891891891892,0.9554054054054054,0.21756756756756757,0.8591047297297298,-0.010544109820113667,0.07228563547606673,-0.6530765213914789,-0.8446627885061856,-0.029329976051290257,-0.35949943503788917,112,0.30357142857142855,0.8288348483257362,-140.38435206461185,2344
