asset,timeframe,fast,slow,mode,filter,buffer,CAGR_screen,sharpe_screen,calmar_screen,max_drawdown_screen,total_return_screen,approx_trades,rank_sharpe,rank_calmar,rank_cagr,rank_drawdown,screen_score,CAGR,volatility,sharpe,sortino,calmar,max_drawdown,num_trades,win_rate,profit_factor,expectancy,screen_rank
USATECHIDXUSD60_comma,onehours,60,500,long_only,none,0.001,0.1075045211309007,0.8621458300053788,0.4572720438850615,-0.2350997017388684,2.8911821215684146,219,1.0,0.9979729729729729,0.9996621621621622,0.08006756756756757,0.8614358108108108,0.10779163439194317,0.127957735417233,0.5575606601708156,0.6704330836585994,0.4584374374745224,-0.2351283415808153,109,0.41284403669724773,1.9494370185996002,2664.7950645098013,2402
USATECHIDXUSD60_comma,onehours,100,500,long_only,none,0.0,0.10772008274629141,0.8516199951513556,0.39175798845415716,-0.2749658869021292,2.9012720965730545,173,0.9996621621621622,0.9888513513513514,1.0,0.16047297297297297,0.8711486486486487,0.10772027286418684,0.13008840750003414,0.5500442975442682,0.6623708113977825,0.3918274898364405,-0.27491759934748894,86,0.5,2.0727926851099405,3373.5825654098535,2921
USATECHIDXUSD60_comma,onehours,75,500,long_only,none,0.0,0.10336149118327409,0.8237708490801686,0.41032490458506343,-0.25190157854980133,2.7018842359050086,203,0.9979729729729729,0.9915540540540541,0.9989864864864865,0.11452702702702702,0.8640540540540541,0.10381246703925262,0.12968658268976485,0.5240976226286933,0.6294079179771138,0.41067516147805166,-0.2527848693493503,101,0.39603960396039606,1.9599978955068844,2695.1173429591704,2681
USATECHIDXUSD60_comma,onehours,40,500,long_only,none,0.0,0.1000412992098616,0.8055261473326404,0.39092656114595953,-0.25590816576034436,2.556369823909803,255,0.9972972972972973,0.9875,0.9972972972972973,0.12060810810810811,0.8633445945945947,0.09994422239577583,0.12866051274014906,0.4999648118792685,0.5980755913476551,0.39041235719427847,-0.2559965650524766,127,0.3464566929133858,1.7624614947973432,2009.6031048443242,1761
USATECHIDXUSD60_comma,onehours,75,500,long_only,none,0.001,0.09783501892643676,0.7924033007898426,0.3817440800610008,-0.25628431202077373,2.4626203591861886,203,0.9966216216216216,0.9847972972972973,0.9969594594594594,0.12094594594594595,0.8623817567567568,0.09827180277393399,0.12823193339083774,0.48933518608712423,0.5888006781043685,0.3833724623807453,-0.2563350590276242,101,0.4158415841584158,1.8830741311554626,2456.4324280794144,2682
USATECHIDXUSD60_comma,onehours,100,500,long_only,none,0.001,0.0953790013723832,0.7715628363948408,0.3618376512561347,-0.2635961211921174,2.3609504109589534,181,0.9952702702702703,0.981418918918919,0.9966216216216216,0.1358108108108108,0.8631587837837839,0.09579979209343259,0.12883643694074365,0.470151189510935,0.5661667073622964,0.36336836059146826,-0.26364373589790724,90,0.45555555555555555,1.9520996258416372,2642.412446856891,2922
USATECHIDXUSD60_comma,onehours,100,500,long_only,none,0.0025,0.09374437851169648,0.7712187000819795,0.3666279240254111,-0.2556935038728775,2.294821109867601,187,0.9949324324324325,0.9831081081081081,0.9962837837837838,0.11993243243243243,0.8609966216216217,0.09426443485467728,0.12660901366980387,0.4651010572236852,0.5607829115020402,0.36864253542744757,-0.2557068861990546,93,0.5053763440860215,1.9515383991164812,2490.0306475258694,2923
USATECHIDXUSD60_comma,onehours,30,500,long_only,none,0.0,0.09214243565369173,0.7535924921176146,0.3485355168421205,-0.2643702899737199,2.2311832696598692,287,0.9929054054054054,0.977027027027027,0.9949324324324325,0.1375,0.8610304054054054,0.09336565729743285,0.12790106852407163,0.45526716996954314,0.5445124919405433,0.35663793599477317,-0.2617939592909746,143,0.34265734265734266,1.6768896623411644,1594.1765692620838,1401
USATECHIDXUSD60_comma,onehours,100,400,long_only,none,0.0,0.08952820364818548,0.7185421876155611,0.2957983074004748,-0.3026663824920919,2.1297681208874772,212,0.9888513513513514,0.9625,0.9935810810810811,0.20135135135135135,0.8650844594594596,0.0897961908036431,0.13136166915125097,0.4217920350711404,0.5073526119665802,0.29681000643793976,-0.30253761280254765,105,0.45714285714285713,1.7831475593924397,2050.6627220768264,2881
USATECHIDXUSD60_comma,onehours,100,300,long_only,none,0.0,0.08565298110679387,0.6898044073474581,0.2224973522837947,-0.38496179944444353,1.9848404236966943,254,0.9834459459459459,0.9361486486486487,0.9912162162162163,0.28209459459459457,0.867972972972973,0.08638841392569918,0.13173939221672676,0.3971842712001299,0.4800531551169476,0.2243473417536482,-0.3850654670139161,126,0.4365079365079365,1.6422208241774172,1620.856221099727,2841
