sharpe,excess_sharpe,bench_sharpe,CAGR,max_drawdown,calmar,avg_exposure,num_trades,win_rate,profit_factor,asset,strategy
0.2656313643194319,0.06916255660848766,0.19646880771094424,0.03554944874544419,-0.5119776130827106,0.06943555311216534,0.4452533488642982,9,0.3333333333333333,1.4339112790414301,brentcmdusd_1d,01_goldencross
0.3441688239416405,0.1477000162306719,0.1964688077109686,0.060526399125372166,-0.7469618146277563,0.08103011149978946,0.034653465346534656,107,0.3364485981308411,1.2128786042312174,brentcmdusd_1d,02_emacross
0.0885928091769636,-0.10787599853396973,0.19646880771093334,0.00346381505908977,-0.3120701970852239,0.011099474065265609,0.10425160163075131,59,0.5932203389830508,1.0432518848225318,brentcmdusd_1d,03_rsi_meanrev
-0.063873549227775,-0.26034235693870933,0.19646880771093433,-0.04118661578819027,-0.8435971938691951,-0.04882260880845997,0.2664531158998253,59,0.6949152542372882,0.6640670775146676,brentcmdusd_1d,04_bollinger_meanrev
0.3666012731844061,0.17013246547346347,0.19646880771094263,0.056510671819996805,-0.523337306644031,0.10798135562392616,0.3858474082702388,52,0.38461538461538464,1.4460367179242495,brentcmdusd_1d,05_donchian_breakout
0.03859923656127167,-0.15786957114965502,0.1964688077109267,-0.05637483404014809,-0.9218246909614108,-0.061155699769066,0.013686662783925451,276,0.38405797101449274,0.9063137259236991,brentcmdusd_1d,06_macd_cross
0.3082057414512453,0.11173693374029967,0.19646880771094563,0.045565353055076585,-0.44504702318399636,0.10238323296511175,0.41292952824694235,41,0.36585365853658536,1.3680891840332952,brentcmdusd_1d,07_absolute_momentum
0.20117363910583821,0.00470483139506464,0.19646880771077357,0.020077937754987563,-0.6259336455972295,0.03207678305234792,0.006988934187536401,232,0.3620689655172414,1.0208767700676207,brentcmdusd_1d,08_atr_breakout
-0.3414158083809057,-0.537884616091495,0.1964688077105893,-0.11619478202312117,-0.8661172503489528,-0.13415594941251555,0.00320326150262085,125,0.584,0.5462959459887566,brentcmdusd_1d,09_zscore_meanrev
-0.02296764951407928,0.17350115819706677,-0.19646880771114605,-0.07374664060009417,-0.8895234207337936,-0.08290578851679749,-0.00553290623179965,188,0.28191489361702127,0.9290747148631616,brentcmdusd_1d,10_roc_momentum
-0.012232017605525,0.009336302620972573,-0.021568320226497573,-0.0015322445820276087,-0.1328908622586763,-0.011530097374528625,0.4309348216065378,15,0.4,0.873640639509477,eurusd_1d,01_goldencross
-0.17883387948072293,-0.20040219970726353,0.021568320226540583,-0.016023178368978486,-0.4547705759008418,-0.0352335424015475,-0.047438708391469006,176,0.26704545454545453,0.7675978174364302,eurusd_1d,02_emacross
-0.19485657188566496,-0.17328825165915365,-0.0215683202265113,-0.005073421444910076,-0.10638860211125167,-0.04768764082081599,0.11879609328283836,97,0.5876288659793815,0.7309428200215647,eurusd_1d,03_rsi_meanrev
-0.032449882628737325,-0.01088156240226201,-0.021568320226475316,-0.002140728006867265,-0.20362293073123272,-0.010513197109872014,0.2790512258321706,87,0.5977011494252874,0.9199153282629462,eurusd_1d,04_bollinger_meanrev
-0.4031974039805311,-0.38162908375404,-0.021568320226491137,-0.017980662627092525,-0.3648676098117487,-0.04927996386516617,0.3426350408610723,81,0.30864197530864196,0.5083313002683401,eurusd_1d,05_donchian_breakout
-0.6156197260312478,-0.5940514058045684,-0.02156832022667939,-0.047437789043445644,-0.6455741295913553,-0.07348155210846738,0.008371536774965119,413,0.3220338983050847,0.6401479014012694,eurusd_1d,06_macd_cross
-0.2614115040198835,-0.23984318379339128,-0.021568320226492212,-0.012805311834640953,-0.2755179504251597,-0.04647723248115307,0.447677895156468,66,0.25757575757575757,0.5219961530548198,eurusd_1d,07_absolute_momentum
-0.8319042522813155,-0.8534725725071501,0.021568320225834606,-0.03247352192410369,-0.5140155839290909,-0.063176142785164,-0.016743073549930237,374,0.23796791443850268,0.5117174938821839,eurusd_1d,08_atr_breakout
0.06636203031883965,0.08793035054546902,-0.021568320226629377,0.0020732509238627905,-0.17849253506842722,0.011615336871471881,0.021925453458241977,198,0.6262626262626263,1.0514970315219967,eurusd_1d,09_zscore_meanrev
-0.1824401335246923,-0.20400845375122195,0.02156832022652965,-0.01202351181371375,-0.2893075291256615,-0.041559622903873016,-0.026709188758222046,172,0.27325581395348836,0.7877519816678503,eurusd_1d,10_roc_momentum
0.21665513863633395,-0.05960328148749122,0.2762584201238252,0.022914312793429037,-0.47683348095600764,0.04805516749261803,0.4520859149111937,19,0.3684210526315789,1.7733410135788952,xagusd_1d,01_goldencross
-0.015423842335482692,0.26083457778843416,-0.2762584201239169,-0.047522248744997775,-0.9147615480245452,-0.05195042232330763,-0.030359355638166045,160,0.30625,0.9395292063255665,xagusd_1d,02_emacross
-0.0435367284855732,-0.3197951486093874,0.2762584201238142,-0.008434278330804013,-0.333314035452524,-0.02530429995050526,0.1090458488228005,84,0.5952380952380952,0.8565364838509835,xagusd_1d,03_rsi_meanrev
0.02797396549944845,-0.24828445462437207,0.2762584201238205,-0.007922793393240646,-0.5483476650266363,-0.014448485693571414,0.2691036761668732,80,0.5375,0.8747770089556696,xagusd_1d,04_bollinger_meanrev
0.02399320776284578,-0.252265212360986,0.2762584201238318,-0.014467201639981164,-0.6071724782646319,-0.02382716963939155,0.38207352333746386,78,0.34615384615384615,0.9002250377143789,xagusd_1d,05_donchian_breakout
0.24983925906293317,-0.02641916106089867,0.27625842012383184,0.0304353985806598,-0.5496615536895368,0.055371161356230686,0.05472945064023131,381,0.34908136482939633,1.1075427803521276,xagusd_1d,06_macd_cross
0.21858100115856582,-0.05767741896525802,0.27625842012382384,0.02333111501088725,-0.5281948596148487,0.04417141626084723,0.43845518380834364,73,0.2191780821917808,0.6676330849376557,xagusd_1d,07_absolute_momentum
0.17122116516442204,-0.10503725495940403,0.27625842012382607,0.01410271859603296,-0.481843262955722,0.029268269747145765,0.027467988434531184,310,0.33548387096774196,1.1326707979423414,xagusd_1d,08_atr_breakout
-0.1321396696925183,0.14411875043126263,-0.27625842012378093,-0.052985786204158836,-0.8788207159127784,-0.06029191761726471,-0.024783147459727387,189,0.5608465608465608,0.6753417798468575,xagusd_1d,09_zscore_meanrev
-0.05878972161071351,0.21746869851308714,-0.27625842012380064,-0.05540210830233738,-0.7665730262193472,-0.07227244686076996,-0.016935150764147047,250,0.308,0.8271394132312515,xagusd_1d,10_roc_momentum
