combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
01a_goldencross_sma_50_200 × xauusd_1D_comma,0.6682335924787561,31,0.6768632079127467,0.744246139519583,3.9605701557542546e-05
01b_goldencross_ema_50_200 × xauusd_1D_comma,0.6962574579642018,21,0.731857353044727,0.744246139519583,6.332525608688558e-05
01c_goldencross_ema_30_100 × xauusd_1D_comma,0.6745615621045019,53,0.6475722707580738,0.744246139519583,2.3389777024390196e-05
01d_goldencross_ema_20_60 × xauusd_1D_comma,0.6342433556318929,91,0.6522259446444617,0.744246139519583,3.975517312394184e-05
01e_goldencross_ema_10_50 × xauusd_1D_comma,0.6053154944856265,143,0.6142709170208766,0.744246139519583,2.639788532024344e-05
